2025-10-24 20:52:52 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-24 20:53:38 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-24 20:54:23 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-24 21:04:18 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-24 21:05:03 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-24 21:05:48 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-24 21:06:33 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-24 21:06:59 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-24 21:07:18 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-24 21:51:51 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-24 22:12:00 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
2025-10-24 22:12:41 | OPENAI_API_KEY: OK (prefix=sk-proj...) | DB_PATH: ai_factory\data\memory.db (dir exists=True) | DEPLOYMENTS_DIR: deployments (exists=True)
