2025-10-16T17:48:43-0500 | INFO | httpx | HTTP Request: GET http://127.0.0.1:8017/hello "HTTP/1.1 200 OK"
2025-10-16T17:48:46-0500 | INFO | httpx | HTTP Request: GET http://127.0.0.1:8017/hello "HTTP/1.1 200 OK"
2025-10-16T18:00:41-0500 | INFO | ai_factory.main | Shutting down AI Factory
2025-10-16T18:00:41-0500 | INFO | ai_factory.main | Shutting down AI Factory
2025-10-16T18:00:41-0500 | INFO | ai_factory.config | ✅ OpenAI key loaded (prefix: sk-proj-…)
2025-10-16T18:00:41-0500 | INFO | ai_factory.main | Starting AI Factory v10.1 — Adaptive Orchestrator online.
2025-10-16T18:00:41-0500 | INFO | ai_factory.config | ✅ OpenAI key loaded (prefix: sk-proj-…)
2025-10-16T18:00:41-0500 | INFO | ai_factory.main | Starting AI Factory v10.1 — Adaptive Orchestrator online.
2025-10-16T18:00:45-0500 | INFO | ai_factory.main | Shutting down AI Factory
2025-10-16T18:00:45-0500 | INFO | ai_factory.main | Shutting down AI Factory
2025-10-16T18:00:46-0500 | INFO | ai_factory.config | ✅ OpenAI key loaded (prefix: sk-proj-…)
2025-10-16T18:00:46-0500 | INFO | ai_factory.main | Starting AI Factory v10.1 — Adaptive Orchestrator online.
2025-10-16T18:00:46-0500 | INFO | ai_factory.config | ✅ OpenAI key loaded (prefix: sk-proj-…)
2025-10-16T18:00:46-0500 | INFO | ai_factory.main | Starting AI Factory v10.1 — Adaptive Orchestrator online.
2025-10-16T18:08:03-0500 | INFO | ai_factory.main | Shutting down AI Factory
2025-10-16T18:08:03-0500 | INFO | ai_factory.main | Shutting down AI Factory
2025-10-16T18:08:04-0500 | INFO | ai_factory.config | ✅ OpenAI key loaded (prefix: sk-proj-…)
2025-10-16T18:08:04-0500 | INFO | ai_factory.main | Starting AI Factory v10.1 — Adaptive Orchestrator online.
2025-10-16T18:08:04-0500 | INFO | ai_factory.config | ✅ OpenAI key loaded (prefix: sk-proj-…)
2025-10-16T18:08:04-0500 | INFO | ai_factory.main | Starting AI Factory v10.1 — Adaptive Orchestrator online.
2025-10-16T18:08:13-0500 | INFO | ai_factory.main | Shutting down AI Factory
2025-10-16T18:08:13-0500 | INFO | ai_factory.main | Shutting down AI Factory
2025-10-16T18:08:13-0500 | INFO | ai_factory.config | ✅ OpenAI key loaded (prefix: sk-proj-…)
2025-10-16T18:08:13-0500 | INFO | ai_factory.main | Starting AI Factory v10.1 — Adaptive Orchestrator online.
2025-10-16T18:08:14-0500 | INFO | ai_factory.config | ✅ OpenAI key loaded (prefix: sk-proj-…)
2025-10-16T18:08:14-0500 | INFO | ai_factory.main | Starting AI Factory v10.1 — Adaptive Orchestrator online.
2025-10-16T18:10:20-0500 | INFO | httpx | HTTP Request: GET http://127.0.0.1:8021/hello "HTTP/1.1 200 OK"
2025-10-16T18:10:20-0500 | INFO | httpx | HTTP Request: GET http://127.0.0.1:8021/hello "HTTP/1.1 200 OK"
2025-10-16T18:10:20-0500 | INFO | httpx | HTTP Request: GET http://127.0.0.1:8021/hello "HTTP/1.1 200 OK"
2025-10-16T18:10:20-0500 | INFO | httpx | HTTP Request: GET http://127.0.0.1:8021/hello "HTTP/1.1 200 OK"
2025-10-16T18:10:20-0500 | INFO | httpx | HTTP Request: GET http://127.0.0.1:8021/hello "HTTP/1.1 200 OK"
